name,COUNT(*)
"Samuel Racine",6
"Eugena Esser",6
"Michel Averette",7
"Elba Felder",6
"Sibyl Lauria",6
"Necole Victory",6
"Julia Behrman",8
"Tia Amato",8
"Elna Condello",7
"Gianna Dossey",7
"Debroah Wardle",6
"Vernita Plump",11
"Charles Bidwell",7
"Cliff Meints",7
"Delilah Krum",8
"Earlie Schleusner",11
"Moon Torian",10
"Dorotha Seawell",11
"Maren Musto",11
"Calvin Ollison",11
"Saran Ram",10
"Derrick Boggess",7
"Babette Soukup",7
"Nelle Meaux",7
"Soraya Fulton",7
"Brandie Riva",10
"Marquetta Laycock",9
"Hilma Busick",10
"Arica Stoltzfus",10
"Elwood Shutt",9
"Maryanna Fiorentino",11
"Georgianna Chisholm",15
"Micha Woodford",11
"Dawna Agnew",9
